# errorCode|language|httpStatusCode|localizedMessage
# Languages: uz (Uzbek, default), ru (Russian), en (English)
# Keep rows grouped by error code for easy review.

# -32000 General errors
-32000|uz|500|So'rovni qayta ishlashda xatolik yuz berdi. Iltimos, keyinroq urinib ko'ring.
-32000|ru|500|Произошла ошибка при обработке запроса. Пожалуйста, попробуйте позже.
-32000|en|500|An error occurred while processing the request. Please try again later.
-32001|uz|503|Xizmat vaqtinchalik mavjud emas. Iltimos, keyinroq urinib ko'ring.
-32001|ru|503|Сервис временно недоступен. Пожалуйста, попробуйте позже.
-32001|en|503|Service temporarily unavailable. Please try again later.
-32002|uz|500|Ichki xatolik yuz berdi. Iltimos, keyinroq urinib ko'ring.
-32002|ru|500|Произошла внутренняя ошибка. Пожалуйста, попробуйте позже.
-32002|en|500|Internal error occurred. Please try again later.
-32003|uz|400|Noto'g'ri argument berilgan.
-32003|ru|400|Неверный аргумент.
-32003|en|400|Invalid argument.
-32004|uz|400|So'rov formati noto'g'ri.
-32004|ru|400|Неверный формат запроса.
-32004|en|400|Invalid payload format.
-32005|uz|409|Ushbu yozuv allaqachon mavjud.
-32005|ru|409|Запись уже существует.
-32005|en|409|Already exists.
-32006|uz|500|Ma'lumotlarni saqlashda xatolik yuz berdi.
-32006|ru|500|Ошибка при сохранении данных.
-32006|en|500|Failed to save data.
-32007|uz|401|Avtorizatsiya talab qilinadi.
-32007|ru|401|Требуется авторизация.
-32007|en|401|Unauthorized.
-32008|uz|403|Ushbu amalga ruxsatingiz yo'q.
-32008|ru|403|У вас нет доступа к этому действию.
-32008|en|403|Forbidden.
-32009|uz|400|Validatsiya xatosi.
-32009|ru|400|Ошибка валидации.
-32009|en|400|Validation error.

# -32010 User
-32010|uz|404|Foydalanuvchi topilmadi.
-32010|ru|404|Пользователь не найден.
-32010|en|404|User not found.
-32011|uz|400|Foydalanuvchini qo'shishda xatolik yuz berdi. Iltimos, keyinroq urinib ko'ring.
-32011|ru|400|Не удалось добавить пользователя. Пожалуйста, попробуйте позже.
-32011|en|400|Failed to add user. Please try again later.
-32012|uz|400|Foydalanuvchini yangilashda xatolik yuz berdi.
-32012|ru|400|Не удалось обновить пользователя.
-32012|en|400|Failed to update user.
-32013|uz|400|Foydalanuvchi ma'lumotlarini olishda xatolik yuz berdi.
-32013|ru|400|Не удалось получить данные пользователя.
-32013|en|400|Failed to get user.
-32014|uz|400|Foydalanuvchini o'chirishda xatolik yuz berdi.
-32014|ru|400|Не удалось удалить пользователя.
-32014|en|400|Failed to delete user.
-32015|uz|403|Ushbu foydalanuvchi bloklangan.
-32015|ru|403|Пользователь заблокирован.
-32015|en|403|User is blocked.
-32016|uz|409|Ushbu foydalanuvchi allaqachon mavjud.
-32016|ru|409|Пользователь уже существует.
-32016|en|409|User already exists.
-32017|uz|400|Foydalanuvchi roli noto'g'ri.
-32017|ru|400|Неверная роль пользователя.
-32017|en|400|Invalid user role.

# -32020 Auth / OTP
-32020|uz|400|Tasdiqlash kodi noto'g'ri yoki muddati o'tgan.
-32020|ru|400|Неверный или устаревший код подтверждения.
-32020|en|400|Invalid or expired OTP code.
-32021|uz|400|Tasdiqlash kodining muddati o'tgan.
-32021|ru|400|Срок действия кода истёк.
-32021|en|400|OTP code has expired.
-32022|uz|429|Juda ko'p so'rov. Iltimos, 15 daqiqadan so'ng urinib ko'ring.
-32022|ru|429|Слишком много запросов. Пожалуйста, попробуйте через 15 минут.
-32022|en|429|Too many OTP requests. Please wait 15 minutes.
-32023|uz|429|Iltimos, keyingi tasdiqlash kodini so'rashdan oldin 60 soniya kuting.
-32023|ru|429|Пожалуйста, подождите 60 секунд перед повторным запросом.
-32023|en|429|Please wait 60 seconds before requesting another OTP.
-32024|uz|429|Juda ko'p urinish. Iltimos, 15 daqiqadan so'ng qayta urining.
-32024|ru|429|Слишком много попыток. Попробуйте через 15 минут.
-32024|en|429|Too many attempts. Try again in 15 minutes.
-32025|uz|401|Token noto'g'ri yoki muddati o'tgan.
-32025|ru|401|Неверный или устаревший токен.
-32025|en|401|Invalid or expired token.
-32026|uz|401|Yangilash tokenining muddati o'tgan. Qayta tizimga kiring.
-32026|ru|401|Срок действия refresh-токена истёк. Пожалуйста, войдите снова.
-32026|en|401|Refresh token expired. Please log in again.
-32027|uz|409|Avtorizatsiya jarayonida. Iltimos, kuting.
-32027|ru|409|Верификация в процессе. Пожалуйста, подождите.
-32027|en|409|Verification in progress. Please wait.
-32028|uz|400|Telegram avtorizatsiyasida xatolik yuz berdi.
-32028|ru|400|Ошибка авторизации через Telegram.
-32028|en|400|Telegram authentication error.
-32029|uz|400|Tasdiqlash kodini yuborishda xatolik yuz berdi.
-32029|ru|400|Не удалось отправить код подтверждения.
-32029|en|400|Failed to send OTP code.

# -32030 Question
-32030|uz|404|Savol topilmadi.
-32030|ru|404|Вопрос не найден.
-32030|en|404|Question not found.
-32031|uz|400|Savolni qo'shishda xatolik yuz berdi.
-32031|ru|400|Не удалось добавить вопрос.
-32031|en|400|Failed to add question.
-32032|uz|400|Savolni yangilashda xatolik yuz berdi.
-32032|ru|400|Не удалось обновить вопрос.
-32032|en|400|Failed to update question.
-32033|uz|400|Savol ma'lumotlarini olishda xatolik yuz berdi.
-32033|ru|400|Не удалось получить вопрос.
-32033|en|400|Failed to get question.
-32034|uz|400|Savolni o'chirishda xatolik yuz berdi.
-32034|ru|400|Не удалось удалить вопрос.
-32034|en|400|Failed to delete question.
-32035|uz|400|Savollarni import qilishda xatolik yuz berdi.
-32035|ru|400|Ошибка при импорте вопросов.
-32035|en|400|Failed to import questions.
-32036|uz|400|Savol ma'lumotlari noto'g'ri.
-32036|ru|400|Некорректные данные вопроса.
-32036|en|400|Invalid question payload.

# -32040 AnswerOption
-32040|uz|404|Javob varianti topilmadi.
-32040|ru|404|Вариант ответа не найден.
-32040|en|404|Answer option not found.
-32041|uz|400|Javob variantini qo'shishda xatolik yuz berdi.
-32041|ru|400|Не удалось добавить вариант ответа.
-32041|en|400|Failed to add answer option.
-32042|uz|400|Javob variantini yangilashda xatolik yuz berdi.
-32042|ru|400|Не удалось обновить вариант ответа.
-32042|en|400|Failed to update answer option.
-32043|uz|400|Javob variantini o'chirishda xatolik yuz berdi.
-32043|ru|400|Не удалось удалить вариант ответа.
-32043|en|400|Failed to delete answer option.

# -32050 Category
-32050|uz|404|Kategoriya topilmadi.
-32050|ru|404|Категория не найдена.
-32050|en|404|Category not found.
-32051|uz|400|Kategoriyani qo'shishda xatolik yuz berdi.
-32051|ru|400|Не удалось добавить категорию.
-32051|en|400|Failed to add category.
-32052|uz|400|Kategoriyani yangilashda xatolik yuz berdi.
-32052|ru|400|Не удалось обновить категорию.
